"trial","ref_position","var_area","response","correct","rt"
1,"R",8.42419217177667,"R",TRUE,5.5939998626709
2,"R",12.7922894216608,"L",TRUE,0.795000076293945
3,"R",10.3178814265411,"L",TRUE,0.891000032424927
4,"R",9.27520032925531,"L",TRUE,0.404999971389771
5,"L",13.4682777482085,"L",FALSE,0.592999935150146
6,"L",13.83887258498,"L",FALSE,0.380000114440918
7,"L",10.6172669604421,"R",TRUE,0.392999887466431
8,"R",12.3414385826327,"R",FALSE,0.392999887466431
9,"R",14.7291853947099,"R",FALSE,0.495000123977661
10,"L",9.44589581899345,"L",FALSE,0.595999956130981
11,"R",8.94368617073633,"L",FALSE,0.594000101089478
12,"R",8.82483020238578,"R",TRUE,0.594000101089478
13,"R",14.3030308887828,"L",TRUE,0.491999864578247
14,"L",13.2506227032281,"R",TRUE,0.392999887466431
15,"R",11.0392400419805,"L",TRUE,0.39300012588501
16,"L",11.2456065353472,"R",TRUE,0.493000030517578
17,"R",10.6205715136603,"L",TRUE,0.486999988555908
18,"L",14.9719425607473,"R",TRUE,0.690999984741211
19,"L",14.0473164333962,"R",TRUE,0.898000001907349
20,"L",8.70389827573672,"L",TRUE,0.391000032424927
21,"L",11.3683314942755,"R",TRUE,0.288000106811523
22,"R",10.6498345152941,"L",TRUE,0.391000032424927
23,"R",14.4752599296626,"R",FALSE,0.292999982833862
24,"L",8.58797517814673,"L",TRUE,0.592000007629395
